标题,户型,面积,楼层,建造年份,单价,总价,关键字,地址,详情页地址
江大门口70年 产权湖景房 住家北欧风格 品牌家具 看房方便,1室1厅,46m²,中层(共33层),2015年建造,16522元/m²,76万,小户型繁华地段,联投金色港湾  蔡甸-江汉大学-博学路6号,https://wuhan.anjuke.com/prop/view/A1858481247?from=filter&spread=commsearch_p&uniqid=pc5da427fe815ba3.29985614&position=1&kwtype=filter&now_time=1571039230
东原启城 租售中心 房源多 价格真 有钥匙 选择性多 随时看,3室2厅,97m²,高层(共32层),2017年建造,15431元/m²,150万,全南户型近地铁品质小区,东原启城  洪山-白沙洲-烽胜路,https://wuhan.anjuke.com/prop/view/A1867889127?from=filter&spread=commsearch_p&uniqid=pc5da427fe815dd4.02149945&position=2&kwtype=filter&now_time=1571039230
接受置换 万科金色城市豪装大四房 超一线江景 家私全送带车位,4室2厅,186m²,中层(共49层),2017年建造,20430元/m²,380万,南北通透近地铁配套成熟,万科金色城市20地块  洪山-白沙洲-武金堤路,https://wuhan.anjuke.com/prop/view/A1785048807?from=filter&spread=commsearch_p&uniqid=pc5da427fe815e64.10294689&position=3&kwtype=filter&now_time=1571039230
诚心出售房东急售地铁7号线大花岭正地铁口三房两厅两卫,3室2厅,113m²,低层(共33层),2015年建造,14336元/m²,162万,环境优美交通便利,江南新天地(江夏)  江夏-文化大道-文化大道,https://wuhan.anjuke.com/prop/view/A1864043877?from=filter&spread=commsearch_p&uniqid=pc5da427fe815ec0.19404231&position=4&kwtype=filter&now_time=1571039230
本周推荐 万科金色城市三居室 二次精装 家私全送 高楼层,3室2厅,91m²,高层(共34层),2016年建造,16484元/m²,150万,近地铁配套成熟品质小区,万科金色城市K3地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1854249033?from=filter&spread=commsearch_p&uniqid=pc5da427fe815f29.65244743&position=5&kwtype=filter&now_time=1571039230
真实在售 满二无税 万科金色城市精装两房 经典户型 家私全送,2室2厅,80m²,中层(共34层),2014年建造,15875元/m²,127万,主卧朝南南北通透配套成熟,万科金色城市K3地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1797759381?from=filter&spread=commsearch_p&uniqid=pc5da427fe815f73.69925018&position=6&kwtype=filter&now_time=1571039230
光谷东尚东嘉景苑，户型方正，采光特别好！53平19万,1室1厅,53m²,低层(共9层),2015年建造,6604元/m²,35万,,左岭新城一社区  洪山-光谷东-高新大道,https://wuhan.anjuke.com/prop/view/A1866977103?from=filter&spread=commsearch_p&uniqid=pc5da427fe815fd3.15237018&position=7&kwtype=filter&now_time=1571039230
万科物业推荐 满二无税 金色城市江景104平豪装三房家私全送,3室2厅,104m²,中层(共34层),2014年建造,16346元/m²,170万,南北通透双阳台配套成熟,万科金色城市18地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1785692091?from=filter&spread=commsearch_p&uniqid=pc5da427fe816023.29118471&position=8&kwtype=filter&now_time=1571039230
白沙洲三环内（地铁口）万科金色城市精装两房 大阳台 采光极好,2室2厅,79m²,中层(共34层),2014年建造,16203元/m²,128万,近地铁配套成熟品质小区,万科金色城市17地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1772370237?from=filter&spread=commsearch_p&uniqid=pc5da427fe816086.95447800&position=9&kwtype=filter&now_time=1571039230
CBD中城悦城一期 精装三房 对口大兴实验 武汉一初 有钥匙,3室2厅,119m²,高层(共46层),2017年建造,21536元/m²,258万,,中城悦城(一期)  江汉-王家墩CBD-振兴三路,https://wuhan.anjuke.com/prop/view/A1869075345?from=filter&spread=commsearch_p&uniqid=pc5da427fe8160d9.95494773&position=10&kwtype=filter&now_time=1571039230
（售楼部新房）后官湖湿地公园里，70年产权毛坯别墅。,7室3厅,219m²,共1层,2019年建造,29087元/m²,637万,南北通透环境优美,景瑞天赋半岛  蔡甸-蔡甸城区-五贤南路,https://wuhan.anjuke.com/prop/view/A1867171953?from=filter&spread=commsearch_p&uniqid=pc5da427fe816133.88515321&position=11&kwtype=filter&now_time=1571039230
诚售 （同鑫花园）地铁3号线口 简装两房 采光好无遮挡,2室2厅,85m²,中层(共18层),2006年建造,17047元/m²,145万,近地铁,同鑫花园  江岸-后湖-后湖大道156号,https://wuhan.anjuke.com/prop/view/A1869562641?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da427fe816186.09327693&position=12&kwtype=filter&now_time=1571039230
